"id","projectName","startCommit","endCommit","transformType"
"1","spring-hateoas","28b84b86d3f735beaeadd121626685c63ad4269f","425c8008035789ea59be796b6cd8d7e7ab732826","14"
"2","spring-hateoas","425c8008035789ea59be796b6cd8d7e7ab732826","c43ce41ca584870c073229bfa76f61adc00e273c","2"
"3","spring-hateoas","c43ce41ca584870c073229bfa76f61adc00e273c","4e3bae4efa48599a3c19116f3608af2d4f48f067","14"
"4","spring-hateoas","4e3bae4efa48599a3c19116f3608af2d4f48f067","a77d16ec6c05622ff560fdfb27320b2e056eb129","12"
"5","spring-hateoas","a77d16ec6c05622ff560fdfb27320b2e056eb129","fc1bf7ca57f3b92d6f92a5e5ce865c18f9172cea","1"
"6","spring-hateoas","fc1bf7ca57f3b92d6f92a5e5ce865c18f9172cea","d6b606a99dd7123d3f3a2e9da4e78207ab1e9c57","7"
"7","spring-hateoas","d6b606a99dd7123d3f3a2e9da4e78207ab1e9c57","168262d657a284e8af135b2bbbb96a0fabb82e9c","2"
"8","spring-hateoas","168262d657a284e8af135b2bbbb96a0fabb82e9c","14bc02c3f9240e7807d83f8528300dc6d2842bcf","14"
"9","spring-hateoas","14bc02c3f9240e7807d83f8528300dc6d2842bcf","708c1dd98bac27bfd9d7f78f7043839bdc394b0b","10"
"10","spring-hateoas","708c1dd98bac27bfd9d7f78f7043839bdc394b0b","69c4d010ddf60218b425eb1afbc17f531f8f20fd","4"
"11","spring-hateoas","69c4d010ddf60218b425eb1afbc17f531f8f20fd","9a6921cadecf3c86ae0019dce5c44ef5c948af31","5"
"12","spring-hateoas","9a6921cadecf3c86ae0019dce5c44ef5c948af31","857dfebdc9e6d775ff661ae1d7479bd2451f3eaa","4"
"13","spring-hateoas","857dfebdc9e6d775ff661ae1d7479bd2451f3eaa","ae550d94cbb65c17ac6ee48f7e12b7acd7a84f58","9"
"14","spring-hateoas","ae550d94cbb65c17ac6ee48f7e12b7acd7a84f58","47fe58fd114faea1cd802492737fc42e07220c9b","5"
"15","spring-hateoas","47fe58fd114faea1cd802492737fc42e07220c9b","ac8638aa44433b88f01e5bf30e545937aa48aabe","14"
"16","spring-hateoas","ac8638aa44433b88f01e5bf30e545937aa48aabe","5df7f6e40d77195f95c98b5c7352f1ffad899762","15"
"17","spring-hateoas","5df7f6e40d77195f95c98b5c7352f1ffad899762","bec1d86da63e598ffab3a0cd36c9350f87f3e2fc","12"
"18","spring-hateoas","bec1d86da63e598ffab3a0cd36c9350f87f3e2fc","292887e2e156e539a04d34ec4b6f4f2eecb3e984","2"
"19","spring-hateoas","292887e2e156e539a04d34ec4b6f4f2eecb3e984","0250423b2ce3bf530b747847b55b311d72562a60","15"
"20","spring-hateoas","0250423b2ce3bf530b747847b55b311d72562a60","8f93c9bd366827bf4852f24fe5ca8cf1a28610ec","6"
"21","spring-hateoas","8f93c9bd366827bf4852f24fe5ca8cf1a28610ec","f2718a98be3e8249c12d846e8e037518b68cdc68","9"
"22","spring-hateoas","f2718a98be3e8249c12d846e8e037518b68cdc68","2cd428cbaa9a1e5b4ab82702361cbf20416af881","9"
"23","spring-hateoas","2cd428cbaa9a1e5b4ab82702361cbf20416af881","1ed81b41268236efc0970acf41910c2802d87650","11"
"24","spring-hateoas","1ed81b41268236efc0970acf41910c2802d87650","8f3b02c267a637efe71017b495f5299673ed7484","12"
"25","spring-hateoas","8f3b02c267a637efe71017b495f5299673ed7484","319f5c350f37f525e1ab6e31ea63a3eb9fb9dd05","14"
"26","spring-hateoas","319f5c350f37f525e1ab6e31ea63a3eb9fb9dd05","cd63e7b1a40dfc0a31fc868994184c077944ad21","11"
"27","spring-hateoas","cd63e7b1a40dfc0a31fc868994184c077944ad21","b84471c003cc6b2e675dfc6c696ed15d66dfabbb","9"
"28","spring-hateoas","b84471c003cc6b2e675dfc6c696ed15d66dfabbb","9604f79b34f075da866271cb4987fc568ac38c37","4"
"29","spring-hateoas","9604f79b34f075da866271cb4987fc568ac38c37","879f2ee34d3e440ff374c04ac0228e2d89699071","7"
"30","spring-hateoas","879f2ee34d3e440ff374c04ac0228e2d89699071","dee7e163fb5a0bf7208b0dcfafc83864c959ee2e","0"
"31","spring-hateoas","dee7e163fb5a0bf7208b0dcfafc83864c959ee2e","38800d240a5901a62b6de7119779e113745f36a4","13"
"32","spring-hateoas","38800d240a5901a62b6de7119779e113745f36a4","d9e0bb90a85567f8711e6ad3010a2b434f5399ab","3"
