"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum"
"2","spring-hateoas","97527adc983c82f7581538729e83e14d0a42ef94","10bac826fc3551e0ff4130a9e2d92d2a19359dd1","LOCAL_VAR_RENAMING","0","1","1"
"7","spring-hateoas","10bac826fc3551e0ff4130a9e2d92d2a19359dd1","12efd430325f1a29e26f6a786cf2bf2afb8d5d38","FOR_TO_WHILE","1","1","1"
"12","spring-hateoas","12efd430325f1a29e26f6a786cf2bf2afb8d5d38","88981605029fac965876ba597d9b384522e9e73d","REVERSE_IF_ELSE","3","1","1"
"20","spring-hateoas","88981605029fac965876ba597d9b384522e9e73d","8902dcb1d2fd356621d35626aae87b57a4097bf0","STATEMENTS_ORDER_REARRANGEMENT","10","1","1"
"21","spring-hateoas","8902dcb1d2fd356621d35626aae87b57a4097bf0","7e351a1ef179490ffe56dcd7c1ed509f59edce99","WHILE_TO_FOR","2","1","1"
"31","spring-hateoas","7e351a1ef179490ffe56dcd7c1ed509f59edce99","d06e0d87ffeac3ec9126a19c078391e6a8b6fe2e","LOCAL_VAR_RENAMING","0","1","1"
"32","spring-hateoas","d06e0d87ffeac3ec9126a19c078391e6a8b6fe2e","6cff9354261db9d35fd5672579612efdca8d3cc7","LOCAL_VAR_RENAMING","0","1","1"
"35","spring-hateoas","6cff9354261db9d35fd5672579612efdca8d3cc7","646cc3a259599440fa1ca1059143cedc273965b4","REVERSE_IF_ELSE","3","1","1"
"39","spring-hateoas","646cc3a259599440fa1ca1059143cedc273965b4","04fbf76e88d29bd76fc0615c85ceb6cf4e57f0d4","REVERSE_IF_ELSE","3","1","1"
"40","spring-hateoas","04fbf76e88d29bd76fc0615c85ceb6cf4e57f0d4","c45188bca17b38538cd9a48c28d16435a0de5c04","FOR_TO_WHILE","1","1","1"
"41","spring-hateoas","c45188bca17b38538cd9a48c28d16435a0de5c04","d94903d9a234f3b39f7863fb2bf01ea04a0b5b87","LOCAL_VAR_RENAMING","0","1","1"
"45","spring-hateoas","d94903d9a234f3b39f7863fb2bf01ea04a0b5b87","9c36f95353dd69cfe0e20cbeeb8bece100461106","LOCAL_VAR_RENAMING","0","1","1"
"46","spring-hateoas","9c36f95353dd69cfe0e20cbeeb8bece100461106","dbf2594b91d6b523026324cb1650e087c57f11ce","WHILE_TO_FOR","2","1","1"
"47","spring-hateoas","dbf2594b91d6b523026324cb1650e087c57f11ce","d673e3927ff0f3f81e8c0300e059bc5de61efd03","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"0","org.restlet.ext.jetty","0f7d8f9017f234a8c2527be6b8e755465c6dd397","c60ad15dc728f241af7487edb9576d2cbff01d63","FOR_TO_WHILE","1","1","1"
"2","org.restlet.ext.jetty","c60ad15dc728f241af7487edb9576d2cbff01d63","27e2ec7945f991282f48ef1b4ac3a3f0f25b1295","LOCAL_VAR_RENAMING","0","1","1"
"8","org.restlet.ext.jetty","27e2ec7945f991282f48ef1b4ac3a3f0f25b1295","b2e9da8ce34c09dc9468082670badbf449f10a84","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"9","org.restlet.ext.jetty","b2e9da8ce34c09dc9468082670badbf449f10a84","0ccfd703f2e9949e8096271c2334f2493d1fdb98","REVERSE_IF_ELSE","3","1","1"
"14","org.restlet.ext.jetty","0ccfd703f2e9949e8096271c2334f2493d1fdb98","a9bbf1fe9ae7d8d08091f2b9e294cc757270ddb1","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1"
