"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum"
"0","spring-hateoas","9f7a6fd53e6648a86c62c7fcd75b699d03f40615","85bb6d9b917a677062a2efe391083c36c5f619f1","SWITCH_EQUAL_SIDES","14","1","1"
"2","spring-hateoas","85bb6d9b917a677062a2efe391083c36c5f619f1","70bacb1237c9714fcb180abf41bbcce42b0126bb","REVERSE_IF_ELSE","3","1","1"
"13","spring-hateoas","70bacb1237c9714fcb180abf41bbcce42b0126bb","9acaac6736d6b21bc2f1a4e2bfb3bcd6f729303e","LOCAL_VAR_RENAMING","0","1","1"
"18","spring-hateoas","9acaac6736d6b21bc2f1a4e2bfb3bcd6f729303e","8eab2d4e0d034a90d2353f4df0fdcfd7685dfd3b","LOCAL_VAR_RENAMING","0","1","1"
"40","spring-hateoas","8eab2d4e0d034a90d2353f4df0fdcfd7685dfd3b","2163748553b157a8d67910923bbda03d2bea335e","LOCAL_VAR_RENAMING","0","1","1"
"5","org.restlet.example.book.restlet.ch08.gae","0f7d8f9017f234a8c2527be6b8e755465c6dd397","04754d79662bd98b1222041d52a0ad721dc2adcc","SWITCH_EQUAL_SIDES","14","1","1"
"8","org.restlet.example.book.restlet.ch08.gae","04754d79662bd98b1222041d52a0ad721dc2adcc","b6d036e62c42ee1e35c3213a1d2e2d34db1b7449","REVERSE_IF_ELSE","3","1","1"
"9","org.restlet.example.book.restlet.ch08.gae","b6d036e62c42ee1e35c3213a1d2e2d34db1b7449","b2e3ab1d9e8b052a6326ae0b1d7e7a546ce654a8","LOCAL_VAR_RENAMING","0","1","1"
"27","org.restlet.example.book.restlet.ch08.gae","b2e3ab1d9e8b052a6326ae0b1d7e7a546ce654a8","d8fdd93f52ba8552656d1a15346c8283a82d036d","LOCAL_VAR_RENAMING","0","1","1"
"33","org.restlet.example.book.restlet.ch08.gae","d8fdd93f52ba8552656d1a15346c8283a82d036d","f57b25242d4b1ae4a99dbae2a25ae8421ec62b46","LOCAL_VAR_RENAMING","0","1","1"
"47","org.restlet.example.book.restlet.ch08.gae","f57b25242d4b1ae4a99dbae2a25ae8421ec62b46","83ea1aa0865f1433c3f9cbe1d6ef5106ce5eac93","LOCAL_VAR_RENAMING","0","1","1"
"48","org.restlet.example.book.restlet.ch08.gae","83ea1aa0865f1433c3f9cbe1d6ef5106ce5eac93","ec125856e8462a98486149fe060eba58673455f7","LOCAL_VAR_RENAMING","0","1","1"
"13","org.restlet.example.book.restlet.ch09.android","ec125856e8462a98486149fe060eba58673455f7","80b7189dcb4d22194387c491af472ea9a424cab6","FOR_TO_WHILE","1","1","1"
"17","org.restlet.example.book.restlet.ch09.android","80b7189dcb4d22194387c491af472ea9a424cab6","bc40d05e21b79ed419fa48502a593caad6dce85e","PP_TO_ADD_ASSIGNMENT","6","1","1"
"22","org.restlet.example.book.restlet.ch09.android","bc40d05e21b79ed419fa48502a593caad6dce85e","d30417c16643b622adbdb882b14524f13caed8ea","WHILE_TO_FOR","2","1","1"
"27","org.restlet.example.book.restlet.ch09.android","d30417c16643b622adbdb882b14524f13caed8ea","3639d36641e42c6db2a32b014ae456bb023ddaae","FOR_TO_WHILE","1","1","1"
"31","org.restlet.example.book.restlet.ch09.android","3639d36641e42c6db2a32b014ae456bb023ddaae","a822807d0dc1652f53dcc4ae47152f0fe85e6749","STATEMENTS_ORDER_REARRANGEMENT","10","1","1"
