"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum"
"0","spring-hateoas","7048c0fa77e5ee193b564c52f07d60ec2ac704f9","93c171461af46d14b376ec0e8a88b527f1803b43","SWITCH_EQUAL_SIDES","14","1","1"
"5","spring-hateoas","93c171461af46d14b376ec0e8a88b527f1803b43","889975ead4d8a09eaac590424033d53d51f4fd98","SWITCH_EQUAL_SIDES","14","1","1"
"12","spring-hateoas","889975ead4d8a09eaac590424033d53d51f4fd98","bb4d0c2fa6a12d24edea265b2b692e7216341ef4","LOCAL_VAR_RENAMING","0","1","1"
"18","spring-hateoas","bb4d0c2fa6a12d24edea265b2b692e7216341ef4","5f592acec110d03a6105b7ba13f751ae09ae6b6b","SWITCH_EQUAL_SIDES","14","1","1"
"21","spring-hateoas","5f592acec110d03a6105b7ba13f751ae09ae6b6b","ec7c1d8c4de807ecb0b380854c6b248cd5aaa901","LOCAL_VAR_RENAMING","0","1","1"
"24","spring-hateoas","ec7c1d8c4de807ecb0b380854c6b248cd5aaa901","c5249e0ffc5580d1df060ed9220945fee23ec319","REVERSE_IF_ELSE","3","1","1"
"37","spring-hateoas","c5249e0ffc5580d1df060ed9220945fee23ec319","108c2b85d1cf119afaf23e2c56d611e2332f0781","REVERSE_IF_ELSE","3","1","1"
"39","spring-hateoas","108c2b85d1cf119afaf23e2c56d611e2332f0781","ac5cbd43d006990f8da320fe89fe25bce969a2e7","LOCAL_VAR_RENAMING","0","1","1"
"43","spring-hateoas","ac5cbd43d006990f8da320fe89fe25bce969a2e7","377dff47c4caf701cff206a3983a52fb75cf9672","LOCAL_VAR_RENAMING","0","1","1"
"46","spring-hateoas","377dff47c4caf701cff206a3983a52fb75cf9672","f6b0b8bd87e75c72c92156283c57b17c6f5d1f38","LOCAL_VAR_RENAMING","0","1","1"
"0","spring-data-neo4j/spring-data-neo4j-aspects","04bd484704621520e4d6eb1d72c88579faa5e95a","02bff9d21062dceb01e26d897eb27b67c0c88d4c","FOR_TO_WHILE","1","1","1"
