"id", "projectName", "startCommit", "endCommit", "transformType","transformTypeId", "transformSum", "RelatedMethodsNum","RelatedMethodSet","RelatedCasesNum"
"0","scribejava","bfbe536886fc3c614b785110f8eba663644862d7","d54494a74f3cb157109c59a3900b1cd622c7e973","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","5","[RequestTokenExtractor extract (String), Api createService (String, String, String), BaseStringExtractorImpl extract (OAuthRequest), BaseStringExtractorImpl getSortedAndEncodedParams (OAuthRequest), BaseStringExtractorImpl checkPreconditions (OAuthRequest)]","15"
"2","scribejava","d54494a74f3cb157109c59a3900b1cd622c7e973","6548052b75a79f7eebdff1d5d875d7a3c88bd2bd","STATEMENTS_ORDER_REARRANGEMENT","10","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"3","scribejava","6548052b75a79f7eebdff1d5d875d7a3c88bd2bd","5c792d516a0f6849a577513026b7a09254c452a0","LOCAL_VAR_RENAMING","0","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"12","scribejava","5c792d516a0f6849a577513026b7a09254c452a0","1f6186a491fd295e0b3d4c0ddbf03846a2d5e3a6","LOCAL_VAR_RENAMING","0","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"30","scribejava","1f6186a491fd295e0b3d4c0ddbf03846a2d5e3a6","dbdf9ef759f2987757adbb1c31afba3e6b2859d7","REVERSE_IF_ELSE","3","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"45","scribejava","dbdf9ef759f2987757adbb1c31afba3e6b2859d7","42a41496e0bfb3a23053aa4266d22c27061fbb5d","REVERSE_IF_ELSE","3","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"52","scribejava","42a41496e0bfb3a23053aa4266d22c27061fbb5d","477eb0ae3a33c13041a294508b67386f94c80d8b","REVERSE_IF_ELSE","3","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"58","scribejava","477eb0ae3a33c13041a294508b67386f94c80d8b","0abe90678be76ee3b4241201eb8bf958d83fdc79","REVERSE_IF_ELSE","3","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"65","scribejava","0abe90678be76ee3b4241201eb8bf958d83fdc79","a136bf65d071d4d7282895de7c5215aa31601f3f","REVERSE_IF_ELSE","3","1","1","[StreamUtils getStreamContents (InputStream)]","4"
"0","symja-parser","689f67a32faac83d3edda801cda9b51aaa08e741","a15778c6bae581019f7d0ef18eb38ddc873cd6aa","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","30","[PatternNode equals (Object), Operator Operator (String, String, int), MinFunction evaluateNodeLogical (ASTNode), PatternNode getConstraint (), Operator equals (Object), MinFunction evaluateFunction (FunctionNode), PreMinusOperator PreMinusOperator (String, String, int), MinFunction getVariables (String, Set<String>, boolean), MinFunction optimizeFunction (FunctionNode), PreMinusOperator createFunction (IParserFactory, ASTNode), PatternNode isDefault (), TimesFunction getVariables (String, Set<String>, boolean), MinFunction getDerivativeResult (ASTNode, FunctionNode), PatternNode toString (), PatternNode PatternNode (SymbolNode, ASTNode, boolean), MinFunction parse (String), Operator getPrecedence (), MinFunction getVariables (ASTNode, Set<String>), Operator toString (), MinFunction evaluateFunctionLogical (FunctionNode), MinFunction isSymbol (SymbolNode, SymbolNode), Operator getOperatorString (), MinFunction isSymbol (SymbolNode, String), Operator hashCode (), PatternNode hashCode (), MinFunction getVariable (String), MinFunction derivative (ASTNode, SymbolNode), PatternNode getSymbol (), Operator getFunctionName (), MinFunction evaluateNode (ASTNode)]","150"
