id,projectName,startCommit,endCommit,transformType,transformTypeId,transformSum,RelatedMethodsNum,RelatedMethodSet,RelatedCasesNum
0,scribejava,bfbe536886fc3c614b785110f8eba663644862d7,34e658088dca30f493acd9ece0c8af4054e41194,LOCAL_VAR_RENAMING,0,1,7,"[StreamUtils getStreamContents (InputStream), OAuthParametersMissingException OAuthParametersMissingException (OAuthRequest), RequestTokenExtractor extract (String), Api createService (String, String, String), BaseStringExtractorImpl extract (OAuthRequest), BaseStringExtractorImpl getSortedAndEncodedParams (OAuthRequest), BaseStringExtractorImpl checkPreconditions (OAuthRequest)]",35
1,scribejava,34e658088dca30f493acd9ece0c8af4054e41194,473c4c31d1770d0cbead845441a4e395bfeb65e5,LOCAL_VAR_RENAMING,0,1,2,"[MapUtils getSortedKeys (Map<String,String>), MapUtils sort (Map<String,String>)]",12
5,scribejava,473c4c31d1770d0cbead845441a4e395bfeb65e5,4194b69d13f543116392ee0bf2107ce62c5c0337,LOCAL_VAR_RENAMING,0,1,1,"[MapUtils getSortedKeys (Map<String,String>)]",6
11,scribejava,4194b69d13f543116392ee0bf2107ce62c5c0337,0b0467926dde5699891e173a552927102893b3a1,LOCAL_VAR_RENAMING,0,1,0,[],0
33,scribejava,0b0467926dde5699891e173a552927102893b3a1,63cda72b3211d3209e74e82c79ccd31e504219fd,LOCAL_VAR_RENAMING,0,1,1,[RequestTokenExtractor extract (String)],7
35,scribejava,63cda72b3211d3209e74e82c79ccd31e504219fd,321f5be0a5ef762f69d3f96ec244e2dfd693c138,LOCAL_VAR_RENAMING,0,1,2,"[MapUtils getSortedKeys (Map<String,String>), MapUtils sort (Map<String,String>)]",14
46,scribejava,321f5be0a5ef762f69d3f96ec244e2dfd693c138,eae86b156c775be237a3dcbc01c10c3217c8fe2c,LOCAL_VAR_RENAMING,0,1,2,"[MapUtils getSortedKeys (Map<String,String>), MapUtils sort (Map<String,String>)]",14
0,symja-parser,689f67a32faac83d3edda801cda9b51aaa08e741,fa690a7eafa5941e712249e4485d57b0e2938bd2,LOOP_IF_CONTINUE_TO_ELSE,11,1,31,"[PatternNode equals (Object), Operator Operator (String, String, int), PatternNode PatternNode (SymbolNode, ASTNode), MinFunction evaluateNodeLogical (ASTNode), PatternNode getConstraint (), Operator equals (Object), MinFunction evaluateFunction (FunctionNode), PreMinusOperator PreMinusOperator (String, String, int), MinFunction getVariables (String, Set<String>, boolean), MinFunction optimizeFunction (FunctionNode), PreMinusOperator createFunction (IParserFactory, ASTNode), TimesFunction getVariables (String, Set<String>, boolean), PatternNode isDefault (), MinFunction getDerivativeResult (ASTNode, FunctionNode), PatternNode toString (), PatternNode PatternNode (SymbolNode, ASTNode, boolean), MinFunction parse (String), Operator getPrecedence (), MinFunction getVariables (ASTNode, Set<String>), Operator toString (), MinFunction evaluateFunctionLogical (FunctionNode), MinFunction isSymbol (SymbolNode, SymbolNode), Operator getOperatorString (), MinFunction isSymbol (SymbolNode, String), Operator hashCode (), PatternNode hashCode (), MinFunction getVariable (String), MinFunction derivative (ASTNode, SymbolNode), PatternNode getSymbol (), Operator getFunctionName (), MinFunction evaluateNode (ASTNode)]",155
1,symja-parser,fa690a7eafa5941e712249e4485d57b0e2938bd2,00cceeb287f6c9e3bac7fc7698d5faebb2d987b5,SINGLE_IF_TO_CONDITIONAL_EXP,4,1,1,[Console interpreter (String)],6
2,symja-parser,00cceeb287f6c9e3bac7fc7698d5faebb2d987b5,99b2523d8b30d6933ffd5c36e8ac3a1535e1e9af,LOCAL_VAR_RENAMING,0,1,1,[IDoubleValue setValue (double)],7
21,symja-parser,99b2523d8b30d6933ffd5c36e8ac3a1535e1e9af,a6921978174f0056c334dd82441dd646c36cddcd,LOCAL_VAR_RENAMING,0,1,1,[IDoubleValue setValue (double)],7
