"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum","RelatedMethodSet","RelatedCasesNum"
"0","symja-parser","722696513dc180d513b058441205e9e782f8e4ec","baf0073589b066ae618640221a1e38c3e2d1ee3c","VAR_DECLARATION_MERGING","12","1","33","[PatternNode equals (Object), PatternNode PatternNode (SymbolNode, ASTNode), Operator Operator (String, String, int), MinFunction evaluateNodeLogical (ASTNode), PatternNode getConstraint (), MinFunction evaluateFunction (FunctionNode), Operator equals (Object), PreMinusOperator PreMinusOperator (String, String, int), MinFunction getVariables (String, Set<String>, boolean), MinFunction optimizeFunction (FunctionNode), PreMinusOperator createFunction (IParserFactory, ASTNode), PatternNode isDefault (), TimesFunction getVariables (String, Set<String>, boolean), MinFunction getDerivativeResult (ASTNode, FunctionNode), PatternNode toString (), Console interpreter (String), PatternNode PatternNode (SymbolNode, ASTNode, boolean), MinFunction parse (String), Operator getPrecedence (), MinFunction getVariables (ASTNode, Set<String>), MinFunction evaluateFunctionLogical (FunctionNode), Operator toString (), MinFunction isSymbol (SymbolNode, SymbolNode), IDoubleValue setValue (double), MinFunction isSymbol (SymbolNode, String), Operator getOperatorString (), Operator hashCode (), PatternNode hashCode (), MinFunction getVariable (String), MinFunction derivative (ASTNode, SymbolNode), PatternNode getSymbol (), Operator getFunctionName (), MinFunction evaluateNode (ASTNode)]","231"
"1","symja-parser","baf0073589b066ae618640221a1e38c3e2d1ee3c","75b1881c9fa3cddb50983316b39378711578d82e","REVERSE_IF_ELSE","3","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","8"
"3","symja-parser","75b1881c9fa3cddb50983316b39378711578d82e","498dfde958da65957915f8f89cb38fc3b001e22a","SWITCH_EQUAL_SIDES","14","1","1","[ASTNode equals (Object)]","9"
"5","symja-parser","498dfde958da65957915f8f89cb38fc3b001e22a","6fd7e06ec75d27215544899b0c9868c947eb868e","REVERSE_IF_ELSE","3","1","1","[ASTNode equals (Object)]","9"
"8","symja-parser","6fd7e06ec75d27215544899b0c9868c947eb868e","f3186edd7db797012fd8b17aae87db062bcd6eb6","LOCAL_VAR_RENAMING","0","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"10","symja-parser","f3186edd7db797012fd8b17aae87db062bcd6eb6","aa7547534d3af10738699f03fd95ce913cf59da9","REVERSE_IF_ELSE","3","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"13","symja-parser","aa7547534d3af10738699f03fd95ce913cf59da9","5527ead4c351493381e3c5e4f74783bfef9de6ed","LOCAL_VAR_RENAMING","0","1","2","[ASTNode ASTNode (String), ASTNode isFree (ASTNode)]","18"
"18","symja-parser","5527ead4c351493381e3c5e4f74783bfef9de6ed","f30979563f9d59380ef6ea968b0cbbeb37d142a0","SWITCH_EQUAL_SIDES","14","1","1","[ASTNode equals (Object)]","9"
"21","symja-parser","f30979563f9d59380ef6ea968b0cbbeb37d142a0","1679b751d04094e8005d103f02bb7a6231aaf144","REVERSE_IF_ELSE","3","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"23","symja-parser","1679b751d04094e8005d103f02bb7a6231aaf144","da23c1dc0be65e1b2c2bbe754d3a193c1113a5f6","SWITCH_EQUAL_SIDES","14","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"37","symja-parser","da23c1dc0be65e1b2c2bbe754d3a193c1113a5f6","6827169423b138289385a2c2be66cc8b5adad07e","REVERSE_IF_ELSE","3","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"43","symja-parser","6827169423b138289385a2c2be66cc8b5adad07e","a80bf2fc85c53a742ccf30e755e5ac8400344c05","SWITCH_EQUAL_SIDES","14","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"47","symja-parser","a80bf2fc85c53a742ccf30e755e5ac8400344c05","f8211566c79825fcfa029e6212af5087ad81ac3c","SWITCH_EQUAL_SIDES","14","1","1","[ASTNode equals (Object)]","9"
"52","symja-parser","f8211566c79825fcfa029e6212af5087ad81ac3c","9cc42cb9841b21f43f93525ee48852bf3e3749d0","LOCAL_VAR_RENAMING","0","1","1","[SetFunction evaluate (IEvaluator<T>, FunctionNode)]","9"
"53","symja-parser","9cc42cb9841b21f43f93525ee48852bf3e3749d0","d5373b1966134902fe464631fe57e882e8fbba11","SWITCH_STRING_EQUAL","15","1","1","[ASTNode equals (Object)]","9"
