"id","projectName","transformType","transformTypeId","ErrorReason"
"0","spring-hateoas","WHILE_TO_FOR","2","No changes detected---no transform"
"1","spring-hateoas","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"3","spring-hateoas","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"4","spring-hateoas","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"5","spring-hateoas","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"6","spring-hateoas","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"8","spring-hateoas","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"9","spring-hateoas","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"10","spring-hateoas","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"11","spring-hateoas","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"13","spring-hateoas","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"14","spring-hateoas","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"15","spring-hateoas","IF_DIVIDING","9","No changes detected---no transform"
"16","spring-hateoas","FOR_TO_WHILE","1","No changes detected---no transform"
"17","spring-hateoas","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"18","spring-hateoas","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"19","spring-hateoas","FOR_TO_WHILE","1","No changes detected---no transform"
"22","spring-hateoas","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"23","spring-hateoas","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"24","spring-hateoas","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"25","spring-hateoas","IF_DIVIDING","9","No changes detected---no transform"
"26","spring-hateoas","WHILE_TO_FOR","2","No changes detected---no transform"
"27","spring-hateoas","WHILE_TO_FOR","2","No changes detected---no transform"
"28","spring-hateoas","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"29","spring-hateoas","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"30","spring-hateoas","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"33","spring-hateoas","IF_DIVIDING","9","No changes detected---no transform"
"34","spring-hateoas","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"36","spring-hateoas","WHILE_TO_FOR","2","No changes detected---no transform"
"37","spring-hateoas","IF_DIVIDING","9","No changes detected---no transform"
"38","spring-hateoas","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"42","spring-hateoas","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"43","spring-hateoas","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"44","spring-hateoas","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"48","spring-hateoas","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"49","spring-hateoas","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"1","org.restlet.ext.jetty","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"3","org.restlet.ext.jetty","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"4","org.restlet.ext.jetty","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"5","org.restlet.ext.jetty","WHILE_TO_FOR","2","No changes detected---no transform"
"6","org.restlet.ext.jetty","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"7","org.restlet.ext.jetty","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"10","org.restlet.ext.jetty","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"11","org.restlet.ext.jetty","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"12","org.restlet.ext.jetty","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"13","org.restlet.ext.jetty","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"15","org.restlet.ext.jetty","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"16","org.restlet.ext.jetty","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"17","org.restlet.ext.jetty","IF_DIVIDING","9","No changes detected---no transform"
"18","org.restlet.ext.jetty","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"19","org.restlet.ext.jetty","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"21","org.restlet.ext.jetty","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"22","org.restlet.ext.jetty","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"23","org.restlet.ext.jetty","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"25","org.restlet.ext.jetty","WHILE_TO_FOR","2","No changes detected---no transform"
"26","org.restlet.ext.jetty","WHILE_TO_FOR","2","No changes detected---no transform"
"27","org.restlet.ext.jetty","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"28","org.restlet.ext.jetty","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"29","org.restlet.ext.jetty","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"30","org.restlet.ext.jetty","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"31","org.restlet.ext.jetty","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"33","org.restlet.ext.jetty","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"34","org.restlet.ext.jetty","FOR_TO_WHILE","1","No changes detected---no transform"
"35","org.restlet.ext.jetty","WHILE_TO_FOR","2","No changes detected---no transform"
"36","org.restlet.ext.jetty","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"37","org.restlet.ext.jetty","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"39","org.restlet.ext.jetty","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"40","org.restlet.ext.jetty","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"41","org.restlet.ext.jetty","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"43","org.restlet.ext.jetty","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"44","org.restlet.ext.jetty","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"45","org.restlet.ext.jetty","WHILE_TO_FOR","2","No changes detected---no transform"
"46","org.restlet.ext.jetty","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"48","org.restlet.ext.jetty","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"49","org.restlet.ext.jetty","IF_DIVIDING","9","No changes detected---no transform"
"2","codec-xml","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"4","codec-xml","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"6","codec-xml","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"9","codec-xml","FOR_TO_WHILE","1","No changes detected---no transform"
"10","codec-xml","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"11","codec-xml","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"12","codec-xml","IF_DIVIDING","9","No changes detected---no transform"
"13","codec-xml","REVERSE_IF_ELSE","3","No changes detected---no transform"
"14","codec-xml","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"15","codec-xml","IF_DIVIDING","9","No changes detected---no transform"
"16","codec-xml","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"17","codec-xml","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"18","codec-xml","IF_DIVIDING","9","No changes detected---no transform"
"19","codec-xml","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"20","codec-xml","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"21","codec-xml","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"23","codec-xml","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"24","codec-xml","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"25","codec-xml","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"26","codec-xml","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"27","codec-xml","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"28","codec-xml","WHILE_TO_FOR","2","No changes detected---no transform"
"29","codec-xml","REVERSE_IF_ELSE","3","No changes detected---no transform"
"30","codec-xml","IF_DIVIDING","9","No changes detected---no transform"
"31","codec-xml","WHILE_TO_FOR","2","No changes detected---no transform"
"32","codec-xml","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"33","codec-xml","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"34","codec-xml","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"35","codec-xml","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"36","codec-xml","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"37","codec-xml","FOR_TO_WHILE","1","No changes detected---no transform"
"38","codec-xml","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"39","codec-xml","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"40","codec-xml","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"41","codec-xml","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"42","codec-xml","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"43","codec-xml","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"44","codec-xml","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"45","codec-xml","IF_DIVIDING","9","No changes detected---no transform"
"46","codec-xml","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"47","codec-xml","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"48","codec-xml","IF_DIVIDING","9","No changes detected---no transform"
"1","helios-services","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"5","helios-services","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"6","helios-services","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"7","helios-services","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"10","helios-services","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"11","helios-services","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"12","helios-services","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"13","helios-services","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"14","helios-services","IF_DIVIDING","9","No changes detected---no transform"
"15","helios-services","IF_DIVIDING","9","No changes detected---no transform"
"16","helios-services","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"17","helios-services","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"18","helios-services","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
