"id","projectName","transformType","transformTypeId","ErrorReason"
"2","spring-roo/addon-backup","IF_DIVIDING","9","No changes detected---no transform"
"3","spring-roo/addon-backup","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"5","spring-roo/addon-backup","REVERSE_IF_ELSE","3","No changes detected---no transform"
"6","spring-roo/addon-backup","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"7","spring-roo/addon-backup","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"8","spring-roo/addon-backup","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"9","spring-roo/addon-backup","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"10","spring-roo/addon-backup","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"11","spring-roo/addon-backup","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"12","spring-roo/addon-backup","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"13","spring-roo/addon-backup","IF_DIVIDING","9","No changes detected---no transform"
"14","spring-roo/addon-backup","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"15","spring-roo/addon-backup","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"16","spring-roo/addon-backup","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"17","spring-roo/addon-backup","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"18","spring-roo/addon-backup","FOR_TO_WHILE","1","No changes detected---no transform"
"19","spring-roo/addon-backup","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"20","spring-roo/addon-backup","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"21","spring-roo/addon-backup","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"22","spring-roo/addon-backup","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"23","spring-roo/addon-backup","REVERSE_IF_ELSE","3","No changes detected---no transform"
"25","spring-roo/addon-backup","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"26","spring-roo/addon-backup","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"29","spring-roo/addon-backup","WHILE_TO_FOR","2","No changes detected---no transform"
"3","spring-roo/addon-cache","WHILE_TO_FOR","2","No changes detected---no transform"
"5","spring-roo/addon-cache","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"6","spring-roo/addon-cache","IF_DIVIDING","9","No changes detected---no transform"
"7","spring-roo/addon-cache","WHILE_TO_FOR","2","No changes detected---no transform"
"8","spring-roo/addon-cache","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"9","spring-roo/addon-cache","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"10","spring-roo/addon-cache","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"11","spring-roo/addon-cache","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"12","spring-roo/addon-cache","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"14","spring-roo/addon-cache","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"16","spring-roo/addon-cache","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"17","spring-roo/addon-cache","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"18","spring-roo/addon-cache","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"19","spring-roo/addon-cache","WHILE_TO_FOR","2","No changes detected---no transform"
"20","spring-roo/addon-cache","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"21","spring-roo/addon-cache","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"22","spring-roo/addon-cache","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"23","spring-roo/addon-cache","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"24","spring-roo/addon-cache","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"25","spring-roo/addon-cache","REVERSE_IF_ELSE","3","No changes detected---no transform"
"26","spring-roo/addon-cache","WHILE_TO_FOR","2","No changes detected---no transform"
"27","spring-roo/addon-cache","FOR_TO_WHILE","1","No changes detected---no transform"
"28","spring-roo/addon-cache","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"29","spring-roo/addon-cache","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"4","spring-roo/addon-cloud","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"5","spring-roo/addon-cloud","REVERSE_IF_ELSE","3","No changes detected---no transform"
"6","spring-roo/addon-cloud","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"7","spring-roo/addon-cloud","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"8","spring-roo/addon-cloud","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"9","spring-roo/addon-cloud","WHILE_TO_FOR","2","No changes detected---no transform"
"10","spring-roo/addon-cloud","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"12","spring-roo/addon-cloud","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"13","spring-roo/addon-cloud","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"14","spring-roo/addon-cloud","WHILE_TO_FOR","2","No changes detected---no transform"
"15","spring-roo/addon-cloud","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"16","spring-roo/addon-cloud","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"17","spring-roo/addon-cloud","WHILE_TO_FOR","2","No changes detected---no transform"
"18","spring-roo/addon-cloud","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"19","spring-roo/addon-cloud","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"20","spring-roo/addon-cloud","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"22","spring-roo/addon-cloud","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"23","spring-roo/addon-cloud","FOR_TO_WHILE","1","No changes detected---no transform"
"24","spring-roo/addon-cloud","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"25","spring-roo/addon-cloud","FOR_TO_WHILE","1","No changes detected---no transform"
"27","spring-roo/addon-cloud","REVERSE_IF_ELSE","3","No changes detected---no transform"
"28","spring-roo/addon-cloud","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"29","spring-roo/addon-cloud","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"16","spring-roo/addon","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"17","spring-roo/addon","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"18","spring-roo/addon","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"19","spring-roo/addon","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"20","spring-roo/addon","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"21","spring-roo/addon","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"22","spring-roo/addon","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"23","spring-roo/addon","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"25","spring-roo/addon","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"26","spring-roo/addon","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"27","spring-roo/addon","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"28","spring-roo/addon","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"29","spring-roo/addon","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"2","spring-roo/addon-creator","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"3","spring-roo/addon-creator","IF_DIVIDING","9","No changes detected---no transform"
"4","spring-roo/addon-creator","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"5","spring-roo/addon-creator","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"8","spring-roo/addon-creator","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"11","spring-roo/addon-creator","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"12","spring-roo/addon-creator","IF_DIVIDING","9","No changes detected---no transform"
"13","spring-roo/addon-creator","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"14","spring-roo/addon-creator","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"15","spring-roo/addon-creator","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"17","spring-roo/addon-creator","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"19","spring-roo/addon-creator","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"21","spring-roo/addon-creator","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"23","spring-roo/addon-creator","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"24","spring-roo/addon-creator","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"6","spring-roo/addon","IF_DIVIDING","9","No changes detected---no transform"
"9","spring-roo/addon","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"11","spring-roo/addon","IF_DIVIDING","9","No changes detected---no transform"
"13","spring-roo/addon","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"17","spring-roo/addon","FOR_TO_WHILE","1","No changes detected---no transform"
"18","spring-roo/addon","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"19","spring-roo/addon","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"22","spring-roo/addon","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"23","spring-roo/addon","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"24","spring-roo/addon","FOR_TO_WHILE","1","No changes detected---no transform"
"27","spring-roo/addon","IF_DIVIDING","9","No changes detected---no transform"
"2","spring-roo/addon","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"3","spring-roo/addon","IF_DIVIDING","9","No changes detected---no transform"
"4","spring-roo/addon","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"7","spring-roo/addon","WHILE_TO_FOR","2","No changes detected---no transform"
"8","spring-roo/addon","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"9","spring-roo/addon","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"11","spring-roo/addon","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"12","spring-roo/addon","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"13","spring-roo/addon","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"14","spring-roo/addon","WHILE_TO_FOR","2","No changes detected---no transform"
"15","spring-roo/addon","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"16","spring-roo/addon","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"18","spring-roo/addon","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"19","spring-roo/addon","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"20","spring-roo/addon","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"21","spring-roo/addon","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"22","spring-roo/addon","FOR_TO_WHILE","1","No changes detected---no transform"
