"id","projectName","transformType","transformTypeId","ErrorReason"
"1","netty/buffer","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"3","netty/buffer","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"5","netty/buffer","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"9","netty/buffer","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"10","netty/buffer","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"11","netty/buffer","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"12","netty/buffer","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"13","netty/buffer","WHILE_TO_FOR","2","No changes detected---no transform"
"15","netty/buffer","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"16","netty/buffer","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"17","netty/buffer","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"18","netty/buffer","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"19","netty/buffer","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"20","netty/buffer","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"21","netty/buffer","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"22","netty/buffer","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"23","netty/buffer","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"24","netty/buffer","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"25","netty/buffer","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"26","netty/buffer","IF_DIVIDING","9","No changes detected---no transform"
"28","netty/buffer","FOR_TO_WHILE","1","No changes detected---no transform"
"29","netty/buffer","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"1","netty/codec-dns","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"3","netty/codec-dns","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"4","netty/codec-dns","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"5","netty/codec-dns","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"6","netty/codec-dns","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"7","netty/codec-dns","IF_DIVIDING","9","No changes detected---no transform"
"8","netty/codec-dns","REVERSE_IF_ELSE","3","No changes detected---no transform"
"10","netty/codec-dns","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"12","netty/codec-dns","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"13","netty/codec-dns","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"14","netty/codec-dns","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"15","netty/codec-dns","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"16","netty/codec-dns","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"17","netty/codec-dns","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"18","netty/codec-dns","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"19","netty/codec-dns","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"20","netty/codec-dns","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"21","netty/codec-dns","REVERSE_IF_ELSE","3","No changes detected---no transform"
"24","netty/codec-dns","FOR_TO_WHILE","1","No changes detected---no transform"
"25","netty/codec-dns","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"26","netty/codec-dns","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"27","netty/codec-dns","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"28","netty/codec-dns","WHILE_TO_FOR","2","No changes detected---no transform"
"29","netty/codec-dns","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"5","netty/codec-haproxy","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"9","netty/codec-haproxy","IF_DIVIDING","9","No changes detected---no transform"
"11","netty/codec-haproxy","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"12","netty/codec-haproxy","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"15","netty/codec-haproxy","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"16","netty/codec-haproxy","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"17","netty/codec-haproxy","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"18","netty/codec-haproxy","FOR_TO_WHILE","1","No changes detected---no transform"
"20","netty/codec-haproxy","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"21","netty/codec-haproxy","IF_DIVIDING","9","No changes detected---no transform"
"23","netty/codec-haproxy","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"26","netty/codec-haproxy","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"27","netty/codec-haproxy","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"29","netty/codec-haproxy","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"1","netty/codec-http","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"2","netty/codec-http","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"3","netty/codec-http","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"5","netty/codec-http","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"6","netty/codec-http","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"7","netty/codec-http","WHILE_TO_FOR","2","No changes detected---no transform"
"8","netty/codec-http","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"10","netty/codec-http","IF_DIVIDING","9","No changes detected---no transform"
"11","netty/codec-http","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"12","netty/codec-http","FOR_TO_WHILE","1","No changes detected---no transform"
"13","netty/codec-http","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"14","netty/codec-http","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"15","netty/codec-http","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"16","netty/codec-http","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"17","netty/codec-http","IF_DIVIDING","9","No changes detected---no transform"
"18","netty/codec-http","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"20","netty/codec-http","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"24","netty/codec-http","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"25","netty/codec-http","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"26","netty/codec-http","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"29","netty/codec-http","FOR_TO_WHILE","1","No changes detected---no transform"
"3","netty/codec-http2","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"4","netty/codec-http2","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"5","netty/codec-http2","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"8","netty/codec-http2","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"9","netty/codec-http2","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"10","netty/codec-http2","WHILE_TO_FOR","2","No changes detected---no transform"
"11","netty/codec-http2","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"13","netty/codec-http2","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
