"id","projectName","transformType","transformTypeId","ErrorReason"
"2","symja-parser","IF_DIVIDING","9","No changes detected---no transform"
"4","symja-parser","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"6","symja-parser","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"7","symja-parser","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"9","symja-parser","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"11","symja-parser","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"12","symja-parser","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"14","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"15","symja-parser","WHILE_TO_FOR","2","No changes detected---no transform"
"16","symja-parser","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"17","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"19","symja-parser","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"20","symja-parser","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"22","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"24","symja-parser","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"25","symja-parser","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"26","symja-parser","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"27","symja-parser","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"28","symja-parser","IF_DIVIDING","9","No changes detected---no transform"
"29","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"30","symja-parser","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"31","symja-parser","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"32","symja-parser","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"33","symja-parser","WHILE_TO_FOR","2","No changes detected---no transform"
"34","symja-parser","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"35","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"36","symja-parser","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"38","symja-parser","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"39","symja-parser","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"40","symja-parser","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"41","symja-parser","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"42","symja-parser","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"44","symja-parser","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"45","symja-parser","WHILE_TO_FOR","2","No changes detected---no transform"
"46","symja-parser","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"48","symja-parser","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"49","symja-parser","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"50","symja-parser","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"51","symja-parser","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"54","symja-parser","WHILE_TO_FOR","2","No changes detected---no transform"
"56","symja-parser","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"57","symja-parser","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"58","symja-parser","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"59","symja-parser","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"60","symja-parser","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"61","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"62","symja-parser","FOR_TO_WHILE","1","No changes detected---no transform"
"63","symja-parser","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"1","scribejava/scribejava-apis","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"2","scribejava/scribejava-apis","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"3","scribejava/scribejava-apis","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"4","scribejava/scribejava-apis","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"5","scribejava/scribejava-apis","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"7","scribejava/scribejava-apis","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"8","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"9","scribejava/scribejava-apis","IF_DIVIDING","9","No changes detected---no transform"
"10","scribejava/scribejava-apis","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"11","scribejava/scribejava-apis","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"12","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"13","scribejava/scribejava-apis","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"14","scribejava/scribejava-apis","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"15","scribejava/scribejava-apis","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"16","scribejava/scribejava-apis","IF_DIVIDING","9","No changes detected---no transform"
"17","scribejava/scribejava-apis","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"18","scribejava/scribejava-apis","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"19","scribejava/scribejava-apis","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"20","scribejava/scribejava-apis","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"21","scribejava/scribejava-apis","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"22","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"23","scribejava/scribejava-apis","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"24","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"25","scribejava/scribejava-apis","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"26","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"27","scribejava/scribejava-apis","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"28","scribejava/scribejava-apis","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"29","scribejava/scribejava-apis","FOR_TO_WHILE","1","No changes detected---no transform"
"30","scribejava/scribejava-apis","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"31","scribejava/scribejava-apis","IF_DIVIDING","9","No changes detected---no transform"
"32","scribejava/scribejava-apis","FOR_TO_WHILE","1","No changes detected---no transform"
"33","scribejava/scribejava-apis","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"34","scribejava/scribejava-apis","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"35","scribejava/scribejava-apis","REVERSE_IF_ELSE","3","No changes detected---no transform"
"37","scribejava/scribejava-apis","INFIX_EXPRESSION_DIVIDING","8","No changes detected---no transform"
"38","scribejava/scribejava-apis","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"39","scribejava/scribejava-apis","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"40","scribejava/scribejava-apis","IF_DIVIDING","9","No changes detected---no transform"
"42","scribejava/scribejava-apis","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"43","scribejava/scribejava-apis","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"44","scribejava/scribejava-apis","FOR_TO_WHILE","1","No changes detected---no transform"
"45","scribejava/scribejava-apis","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"46","scribejava/scribejava-apis","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"47","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"48","scribejava/scribejava-apis","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"49","scribejava/scribejava-apis","WHILE_TO_FOR","2","No changes detected---no transform"
"50","scribejava/scribejava-apis","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"51","scribejava/scribejava-apis","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"52","scribejava/scribejava-apis","CONDITIONAL_EXP_TO_SINGLE_IF","5","No changes detected---no transform"
"53","scribejava/scribejava-apis","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"54","scribejava/scribejava-apis","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"55","scribejava/scribejava-apis","SWITCH_EQUAL_SIDES","14","No changes detected---no transform"
"56","scribejava/scribejava-apis","STATEMENTS_ORDER_REARRANGEMENT","10","No changes detected---no transform"
"59","scribejava/scribejava-apis","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"62","scribejava/scribejava-apis","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"63","scribejava/scribejava-apis","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"64","scribejava/scribejava-apis","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"65","scribejava/scribejava-apis","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"1","scribejava/scribejava-core","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"4","scribejava/scribejava-core","VAR_DECLARATION_MERGING","12","No changes detected---no transform"
"5","scribejava/scribejava-core","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"6","scribejava/scribejava-core","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"7","scribejava/scribejava-core","FOR_TO_WHILE","1","No changes detected---no transform"
"9","scribejava/scribejava-core","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"10","scribejava/scribejava-core","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"12","scribejava/scribejava-core","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"13","scribejava/scribejava-core","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"14","scribejava/scribejava-core","SWITCH_STRING_EQUAL","15","No changes detected---no transform"
"15","scribejava/scribejava-core","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"16","scribejava/scribejava-core","IF_DIVIDING","9","No changes detected---no transform"
"17","scribejava/scribejava-core","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"18","scribejava/scribejava-core","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"19","scribejava/scribejava-core","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"21","scribejava/scribejava-core","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"23","scribejava/scribejava-core","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"24","scribejava/scribejava-core","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"29","scribejava/scribejava-core","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"31","scribejava/scribejava-core","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","No changes detected---no transform"
"32","scribejava/scribejava-core","IF_DIVIDING","9","No changes detected---no transform"
"33","scribejava/scribejava-core","VAR_DECLARATION_DIVIDING","13","No changes detected---no transform"
"34","scribejava/scribejava-core","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"35","scribejava/scribejava-core","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
"36","scribejava/scribejava-core","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"37","scribejava/scribejava-core","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"38","scribejava/scribejava-core","IF_DIVIDING","9","No changes detected---no transform"
"39","scribejava/scribejava-core","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"40","scribejava/scribejava-core","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"41","scribejava/scribejava-core","CASE_TO_IF_ELSE","17","No changes detected---no transform"
"42","scribejava/scribejava-core","PRE_POST_FIX_EXPRESSION_DIVIDING","16","No changes detected---no transform"
"43","scribejava/scribejava-core","PP_TO_ADD_ASSIGNMENT","6","No changes detected---no transform"
"44","scribejava/scribejava-core","SINGLE_IF_TO_CONDITIONAL_EXP","4","No changes detected---no transform"
"45","scribejava/scribejava-core","LOOP_IF_CONTINUE_TO_ELSE","11","No changes detected---no transform"
